,제품명(한글),수입일자,제조국,수출국
6951,냉동부추,2020-12-29,중국,중국
6952,냉동청피망,2020-12-29,중국,중국
6953,냉동양배추,2020-12-29,중국,중국
6954,브라질 넛츠,2020-12-29,볼리비아,캐나다
6955,냉동부추,2020-12-29,중국,중국
6956,자몽,2020-12-29,이스라엘,이스라엘
6957,브로콜리,2020-12-29,중국,중국
6958,냉동마늘,2020-12-29,중국,중국
6959,냉동당근,2020-12-29,중국,중국
6960,들깨,2020-12-29,중국,중국
6961,신선표고버섯,2020-12-29,중국,중국
6962,기장,2020-12-29,중국,중국
6963,망고,2020-12-29,태국,태국
6964,신선양배추,2020-12-29,중국,중국
6965,바나나,2020-12-29,페루,페루
6966,백후추,2020-12-29,베트남,베트남
6967,들깨,2020-12-29,중국,중국
6968,자몽,2020-12-29,이스라엘,이스라엘
6969,"바나나(열매,신선)",2020-12-29,에콰도르,에콰도르
6970,석류,2020-12-29,미국,미국
6971,자몽,2020-12-29,미국,미국
6972,냉동홍고추,2020-12-29,중국,중국
6973,냉동홍고추,2020-12-29,중국,중국
6974,신선당근,2020-12-29,중국,중국
6975,건생강,2020-12-29,중국,중국
6976,냉동홍고추,2020-12-29,중국,중국
6977,신선당근,2020-12-29,중국,중국
6978,커피원두(브라질-산토스),2020-12-29,브라질,브라질
6979,냉동 대파 10KG,2020-12-29,중국,중국
6980,COFFEE BEANS,2020-12-29,코스타리카,코스타리카
6981,커피원두,2020-12-29,미국,미국
6982,길경/18KG,2020-12-29,중국,중국
6983,길경/4KG,2020-12-29,중국,중국
6984,알땅콩,2020-12-29,중국,중국
6985,황기,2020-12-29,중국,중국
6986,백출,2020-12-29,중국,중국
6987,깐도라지,2020-12-29,중국,중국
6988,기장,2020-12-29,중국,중국
6989,신선마늘쫑,2020-12-29,중국,중국
6990,조,2020-12-29,중국,중국
6991,커피원두,2020-12-29,브라질,브라질
6992,마늘쫑,2020-12-29,중국,중국
6993,양송이버섯,2020-12-29,중국,중국
6994,깐우엉,2020-12-29,중국,중국
6995,레몬,2020-12-29,미국,미국
6996,망고,2020-12-29,태국,태국
6997,옥수수,2020-12-29,브라질,브라질
6998,옥수수,2020-12-29,브라질,브라질
6999,옥수수,2020-12-29,브라질,브라질
7000,옥수수,2020-12-29,브라질,브라질
7001,옥수수,2020-12-29,브라질,브라질
7002,옥수수,2020-12-29,브라질,브라질
7003,바나나,2020-12-29,필리핀,필리핀
7004,옥수수,2020-12-29,미국,미국
7005,신선당근,2020-12-29,중국,중국
7006,커피원두(생두),2020-12-29,콜롬비아,콜롬비아
7007,커피원두(생두),2020-12-29,콜롬비아,콜롬비아
7008,양파,2020-12-29,중국,중국
7009,신선마늘쫑,2020-12-29,중국,중국
7010,들깨,2020-12-29,중국,중국
7011,고추씨,2020-12-29,중국,중국
7012,곶감,2020-12-29,중국,중국
7013,망고,2020-12-29,태국,태국
7014,블루베리,2020-12-29,칠레,칠레
7015,귀리,2020-12-29,캐나다,캐나다
7016,건무화과,2020-12-29,터키,터키
7017,파인애플,2020-12-29,필리핀,필리핀
7018,"망고(열매,신선)",2020-12-29,태국,태국
7019,블루베리,2020-12-29,칠레,칠레
7020,블루베리,2020-12-29,칠레,칠레
7021,헤이즐넛,2020-12-29,터키,터키
7022,감자,2020-12-29,미국,미국
7023,맥아,2020-12-29,캐나다,캐나다
7024,신선브로콜리,2020-12-29,중국,중국
7025,포도,2020-12-29,미국,미국
