,제품명(한글),수입일자,제조국,수출국
6717,포도,2020-12-30,페루,페루
6718,포도,2020-12-30,페루,페루
6719,포도,2020-12-30,페루,페루
6720,"포도(열매,신선)",2020-12-30,페루,페루
6721,포도,2020-12-30,페루,페루
6722,브라질커피원두,2020-12-30,브라질,브라질
6723,신선표고버섯,2020-12-30,중국,중국
6724,호두,2020-12-30,미국,미국
6725,아보카도,2020-12-30,멕시코,멕시코
6726,아보카도,2020-12-30,멕시코,멕시코
6727,아보카도,2020-12-30,멕시코,멕시코
6728,옥수수,2020-12-30,미국,미국
6729,귀리,2020-12-30,캐나다,캐나다
6730,냉동고추,2020-12-30,베트남,베트남
6731,참깨,2020-12-30,나이지리아,베트남
6732,커피원두(브라질 세하도 파인컵),2020-12-30,브라질,브라질
6733,커피원두,2020-12-30,콜롬비아,콜롬비아
6734,양상추,2020-12-30,중국,중국
6735,호박씨,2020-12-30,중국,중국
6736,신선양파,2020-12-30,중국,중국
6737,들깨,2020-12-30,중국,중국
6738,커피원두,2020-12-30,페루,페루
6739,바나나,2020-12-30,필리핀,필리핀
6740,바나나,2020-12-30,필리핀,필리핀
6741,바나나,2020-12-30,콜롬비아,콜롬비아
6742,냉동홍고추,2020-12-30,중국,중국
6743,깐도라지,2020-12-30,중국,중국
6744,깐우엉,2020-12-30,중국,중국
6745,목이버섯,2020-12-30,중국,중국
6746,마른줄기상추,2020-12-30,중국,중국
6747,마른산상추순,2020-12-30,중국,중국
6748,녹두,2020-12-30,미국,미국
6749,기장,2020-12-30,미국,미국
6750,고추씨,2020-12-30,중국,중국
6751,깐양대,2020-12-30,중국,중국
6752,신선양파,2020-12-30,중국,중국
6753,커클랜드 시그니춰 월넛,2020-12-30,미국,미국
6754,커클랜드 시그니춰 아몬드,2020-12-30,미국,미국
6755,COFFEE BEANS,2020-12-30,코스타리카,코스타리카
6756,냉동 대파 9KG,2020-12-30,중국,중국
6757,신선밤,2020-12-30,중국,중국
6758,냉동마늘,2020-12-30,중국,중국
6759,건조그물버섯,2020-12-30,이탈리아,이탈리아
6760,냉동 양파 10KG,2020-12-30,중국,중국
6761,커피원두,2020-12-30,브라질,브라질
6762,오렌지,2020-12-30,미국,미국
6763,신선 고추냉이(와사비),2020-12-30,일본,일본
6764,메밀,2020-12-30,미국,미국
6765,냉동홍고추,2020-12-30,중국,중국
6766,신선당근,2020-12-30,중국,중국
6767,신선우엉,2020-12-30,중국,중국
6768,애플망고,2020-12-30,페루,페루
6769,망고,2020-12-30,페루,페루
6770,호두,2020-12-30,미국,미국
6771,망고,2020-12-30,태국,태국
6772,바나나,2020-12-30,에콰도르,에콰도르
6773,무말랭이,2020-12-30,중국,중국
6774,들깨,2020-12-30,중국,중국
6775,신선우엉,2020-12-30,중국,중국
6776,냉동곶감,2020-12-30,중국,중국
6777,표고버섯,2020-12-30,중국,중국
6778,마늘쫑(8KG),2020-12-30,중국,중국
6779,깐우엉,2020-12-30,중국,중국
6780,깐도라지,2020-12-30,중국,중국
6781,들깨,2020-12-30,중국,중국
6782,"칡/갈근(뿌리,건조)",2020-12-30,중국,중국
6783,산조인,2020-12-30,미얀마,미얀마
6784,포도,2020-12-30,미국,미국
6785,커피생두,2020-12-30,과테말라,과테말라
6786,바나나,2020-12-30,멕시코,멕시코
6787,양상추,2020-12-30,중국,중국
6788,호두,2020-12-30,미국,미국
6789,브로콜리,2020-12-30,중국,중국
6790,바나나,2020-12-30,멕시코,멕시코
6791,감자,2020-12-30,미국,미국
6792,바나나,2020-12-30,과테말라,과테말라
6793,호두,2020-12-30,미국,미국
6794,바나나,2020-12-30,코스타리카,코스타리카
6795,흰강낭콩,2020-12-30,캐나다,캐나다
6796,망고,2020-12-30,태국,태국
6797,망고,2020-12-30,태국,태국
6798,망고,2020-12-30,태국,태국
6799,망고,2020-12-30,태국,태국
6800,표고버섯,2020-12-30,중국,중국
6801,깐도라지,2020-12-30,중국,중국
6802,신선깐도라지,2020-12-30,중국,중국
6803,망고,2020-12-30,태국,태국
6804,신선우엉,2020-12-30,중국,중국
6805,건고추,2020-12-30,중국,중국
6806,신선브로콜리,2020-12-30,중국,중국
6807,검정강낭콩,2020-12-30,캐나다,캐나다
6808,깐도라지,2020-12-30,중국,중국
6809,냉동부추,2020-12-30,중국,중국
6810,들깨,2020-12-30,중국,중국
6811,포도,2020-12-30,페루,페루
6812,페르시안 라임 (4.5KG),2020-12-30,멕시코,멕시코
6813,포도,2020-12-30,페루,페루
6814,신선양상추,2020-12-30,중국,중국
6815,신선밤,2020-12-30,중국,중국
6816,양파,2020-12-30,중국,중국
6817,가시오가피나무줄기,2020-12-30,중국,중국
6818,들깨,2020-12-30,중국,중국
6819,용과,2020-12-30,베트남,베트남
6820,야자,2020-12-30,베트남,베트남
6821,해바라기씨,2020-12-30,중국,중국
6822,"호박씨(씨앗,건조)",2020-12-30,중국,중국
6823,망고,2020-12-30,페루,페루
6824,망고,2020-12-30,페루,페루
6825,아스파라거스 (7KG),2020-12-30,태국,태국
6826,하이비 아스파라거스 (5KG),2020-12-30,태국,태국
6827,아스파라거스(6KG),2020-12-30,태국,태국
6828,신선송로버섯,2020-12-30,이탈리아,이탈리아
6829,망고,2020-12-30,호주,호주
6830,신선송로버섯,2020-12-30,스페인,스페인
6831,송로버섯,2020-12-30,이탈리아,이탈리아
6832,코코넛,2020-12-30,태국,태국
6833,건라임잎,2020-12-30,태국,태국
6834,송로버섯,2020-12-30,이탈리아,이탈리아
6835,바닐라빈,2020-12-30,파푸아뉴기니,파푸아뉴기니
6836,레몬그래스,2020-12-30,태국,태국
6837,신선 갈랑갈,2020-12-30,태국,태국
6838,바나나 꽃,2020-12-30,태국,태국
6839,신선핑거루트,2020-12-30,태국,태국
6840,죽순,2020-12-30,태국,태국
6841,아스파라거스,2020-12-30,태국,태국
6842,아스파라거스,2020-12-30,태국,태국
6843,아스파라거스,2020-12-30,태국,태국
6844,냉동대파,2020-12-30,중국,중국
6845,양배추,2020-12-30,중국,중국
6846,석류,2020-12-30,미국,미국
6847,신선우엉,2020-12-30,중국,중국
6848,반건조무화과,2020-12-30,터키,터키
6849,해바라기씨,2020-12-30,미국,미국
6850,커피생두,2020-12-30,브라질,브라질
6851,곶감,2020-12-30,중국,중국
6852,냉동홍고추,2020-12-30,중국,중국
6853,아스파라거스,2020-12-30,페루,페루
6854,아스파라거스,2020-12-30,페루,페루
6855,생피땅콩,2020-12-30,중국,중국
6856,자몽,2020-12-30,미국,미국
6857,자몽,2020-12-30,미국,미국
6858,아몬드,2020-12-30,미국,미국
6859,감자,2020-12-30,미국,미국
6860,유기농 바나나,2020-12-30,페루,페루
6861,동부콩,2020-12-30,네팔,네팔
6862,바나나,2020-12-30,필리핀,필리핀
6863,커피생두,2020-12-30,콜롬비아,콜롬비아
6864,아스파라거스,2020-12-30,페루,페루
6865,커피생두,2020-12-30,브라질,브라질
6866,커피원두,2020-12-30,브라질,브라질
6867,송로버섯,2020-12-30,이탈리아,이탈리아
6868,송로버섯,2020-12-30,이탈리아,이탈리아
6869,강낭콩,2020-12-30,미국,미국
6870,작약,2020-12-30,중국,중국
6871,호두,2020-12-30,미국,미국
6872,강낭콩,2020-12-30,중국,중국
6873,망고,2020-12-30,페루,페루
6874,대두,2020-12-30,미국,미국
6875,커피 생두,2020-12-30,에티오피아,에티오피아
6876,냉동홍고추,2020-12-30,중국,중국
6877,브라질커피원두,2020-12-30,브라질,브라질
6878,카무트,2020-12-30,캐나다,캐나다
6879,커피원두,2020-12-30,콜롬비아,콜롬비아
6880,커피원두,2020-12-30,탄자니아,탄자니아
6881,신선우엉,2020-12-30,중국,중국
6882,커피원두,2020-12-30,미얀마,미얀마
