,제품명(한글),수입일자,제조국,수출국
6196,석류,2021-01-04,미국,미국
6197,석류,2021-01-04,미국,미국
6198,석류,2021-01-04,미국,미국
6199,석류,2021-01-04,미국,미국
6200,신선깐양파,2021-01-04,중국,중국
6201,신선당근,2021-01-04,중국,중국
6202,커피원두,2021-01-04,브라질,브라질
6203,신선당근,2021-01-04,중국,중국
6204,포도,2021-01-04,미국,미국
6205,콩나물,2021-01-04,중국,중국
6206,라디치오,2021-01-04,미국,미국
6207,자몽,2021-01-04,미국,미국
6208,자몽,2021-01-04,미국,미국
6209,포도,2021-01-04,미국,미국
6210,건우엉/11KG,2021-01-04,중국,중국
6211,둥굴레/21KG,2021-01-04,중국,중국
6212,녹두,2021-01-04,페루,페루
6213,포도,2021-01-04,칠레,칠레
6214,블루베리,2021-01-04,칠레,칠레
6215,신선고추냉이,2021-01-04,일본,일본
6216,레몬,2021-01-04,미국,미국
6217,바나나,2021-01-04,에콰도르,에콰도르
6218,오렌지,2021-01-04,미국,미국
6219,신선브로콜리,2021-01-04,중국,중국
6220,신선브로콜리,2021-01-04,중국,중국
6221,신선브로콜리,2021-01-04,중국,중국
6222,밤,2021-01-04,중국,중국
6223,건고추,2021-01-04,중국,중국
6224,신선 양파,2021-01-04,중국,중국
6225,"파인애플(12KG,2020.12.26)",2021-01-04,필리핀,필리핀
6226,냉동 양배추,2021-01-04,중국,중국
6227,곶감,2021-01-04,중국,중국
6228,신선우엉,2021-01-04,중국,중국
6229,커피생두,2021-01-04,브라질,브라질
6230,커피생두,2021-01-04,브라질,브라질
6231,파인애플 (12KG),2021-01-04,필리핀,필리핀
6232,"바나나(13KG,2020.12.26)",2021-01-04,필리핀,필리핀
6233,망고,2021-01-04,필리핀,필리핀
6234,타피오카 칩,2021-01-04,베트남,베트남
6235,갈랑갈,2021-01-04,태국,태국
6236,샬롯,2021-01-04,태국,태국
6237,"레몬그라스(줄기,신선)",2021-01-04,태국,태국
6238,땅콩,2021-01-04,중국,중국
6239,냉동홍고추,2021-01-04,베트남,베트남
6240,파쇄옥수수,2021-01-04,인도,인도
6241,냉동 당근,2021-01-04,중국,중국
6242,블루베리,2021-01-04,칠레,칠레
6243,신선양파,2021-01-04,중국,중국
6244,블루베리,2021-01-04,칠레,칠레
6245,아스파라거스(5KG),2021-01-04,페루,페루
6246,브루셀스프라우트(방울다다기 양배추),2021-01-04,벨기에,벨기에
6247,아스파라거스(6KG),2021-01-04,태국,태국
6248,아스파라거스(6KG),2021-01-04,태국,태국
6249,펜넬,2021-01-04,이탈리아,벨기에
6250,샬롯,2021-01-04,네덜란드,벨기에
6251,브루셀스프라우트(방울다다기 양배추),2021-01-04,벨기에,벨기에
6252,아스파라거스(5KG),2021-01-04,페루,페루
6253,아스파라거스(5KG),2021-01-04,페루,페루
6254,엔다이브,2021-01-04,벨기에,벨기에
6255,신선당근,2021-01-04,중국,중국
6256,포도,2021-01-04,미국,미국
6257,석류,2021-01-04,미국,미국
6258,석류,2021-01-04,미국,미국
6259,석류,2021-01-04,미국,미국
6260,신선우엉,2021-01-04,중국,중국
6261,오렌지,2021-01-04,미국,미국
6262,포도,2021-01-04,미국,미국
6263,포도,2021-01-04,미국,미국
6264,파인애플(13.3KG),2021-01-04,필리핀,필리핀
6265,레몬,2021-01-04,미국,미국
6266,냉동잭후르츠,2021-01-04,베트남,베트남
6267,바나나,2021-01-04,베트남,베트남
6268,바나나,2021-01-04,에콰도르,에콰도르
6269,석류,2021-01-04,미국,미국
6270,포도,2021-01-04,미국,미국
6271,블루베리,2021-01-04,칠레,칠레
6272,콜롬비아 커피 생두,2021-01-04,콜롬비아,콜롬비아
6273,건표고버섯(13KG),2021-01-04,중국,중국
6274,포도,2021-01-04,미국,미국
6275,브로콜리,2021-01-04,중국,중국
6276,레몬,2021-01-04,미국,미국
6277,야자열매,2021-01-04,베트남,베트남
6278,레몬그라스,2021-01-04,베트남,베트남
6279,망고,2021-01-04,페루,페루
6280,체리,2021-01-04,칠레,칠레
6281,아티쵸크,2021-01-04,스페인,벨기에
6282,아스파라거스,2021-01-04,페루,페루
6283,방울다다기 양배추,2021-01-04,벨기에,벨기에
6284,앤다이브,2021-01-04,벨기에,벨기에
6285,아스파라거스,2021-01-04,페루,페루
6286,체리,2021-01-04,뉴질랜드,뉴질랜드
6287,체리,2021-01-04,뉴질랜드,뉴질랜드
6288,체리,2021-01-04,칠레,칠레
6289,파스니프,2021-01-04,벨기에,벨기에
6290,방울다다기 양배추,2021-01-04,벨기에,벨기에
6291,아스파라거스 (5KG),2021-01-04,태국,태국
6292,엔다이브,2021-01-04,벨기에,벨기에
6293,루꼴라,2021-01-04,이스라엘,이스라엘
6294,프리제(FRISEE),2021-01-04,스페인,벨기에
6295,샬롯,2021-01-04,네덜란드,네덜란드
