,제품명(한글),수입일자,제조국,수출국
5455,신선우엉,2021-01-07,중국,중국
5456,"영지버섯(자실체,건조)",2021-01-07,중국,중국
5457,신선양배추,2021-01-07,중국,중국
5458,건조 작두콩꼬투리,2021-01-07,인도네시아,인도네시아
5459,아스파라거스,2021-01-07,에콰도르,미국
5460,당근,2021-01-07,중국,중국
5461,결명자,2021-01-07,중국,중국
5462,해바라기씨,2021-01-07,불가리아,불가리아
5463,브로콜리,2021-01-07,중국,중국
5464,기장,2021-01-07,중국,중국
5465,신선브로콜리,2021-01-07,중국,중국
5466,깐도라지,2021-01-07,중국,중국
5467,깐도라지,2021-01-07,중국,중국
5468,신선마늘쫑,2021-01-07,중국,중국
5469,신선생강,2021-01-07,중국,중국
5470,신선우엉,2021-01-07,중국,중국
5471,아보카도,2021-01-07,칠레,칠레
5472,커피원두,2021-01-07,브라질,브라질
5473,냉동 호박,2021-01-07,중국,중국
5474,옥수수(씨앗),2021-01-07,인도,인도
5475,옥수수(씨앗),2021-01-07,인도,인도
5476,옥수수(씨앗),2021-01-07,인도,인도
5477,건조그물버섯,2021-01-07,이탈리아,이탈리아
5478,망고,2021-01-07,페루,페루
5479,망고,2021-01-07,페루,페루
5480,아보카도,2021-01-07,멕시코,멕시코
5481,클로브,2021-01-07,코모로,인도
5482,커피원두(생두),2021-01-07,에티오피아,에티오피아
5483,커피원두(생두),2021-01-07,에티오피아,에티오피아
5484,대두,2021-01-07,캐나다,캐나다
5485,레몬,2021-01-07,미국,미국
5486,옥수수,2021-01-07,브라질,브라질
5487,옥수수,2021-01-07,브라질,브라질
5488,옥수수,2021-01-07,브라질,브라질
5489,신선 표고버섯,2021-01-07,중국,중국
5490,신선당근(10KG),2021-01-07,중국,중국
5491,동부콩,2021-01-07,미얀마,미얀마
5492,아보카도,2021-01-07,멕시코,멕시코
5493,커피원두,2021-01-07,브라질,브라질
5494,신선 밤,2021-01-07,중국,중국
5495,망고,2021-01-07,태국,태국
5496,망고,2021-01-07,호주,호주
5497,망고,2021-01-07,호주,호주
5498,망고,2021-01-07,호주,호주
5499,체리,2021-01-07,칠레,칠레
5500,체리,2021-01-07,칠레,칠레
5501,아스파라거스(5KG),2021-01-07,페루,페루
5502,브루셀스프라우트(방울다다기 양배추),2021-01-07,벨기에,벨기에
5503,브루셀스프라우트(방울다다기 양배추),2021-01-07,벨기에,벨기에
5504,신선더덕,2021-01-07,중국,중국
5505,냉동홍고추,2021-01-07,중국,중국
5506,망고,2021-01-07,페루,페루
5507,포도,2021-01-07,페루,페루
5508,백출,2021-01-07,중국,중국
5509,커피원두 (24KG),2021-01-07,콜롬비아,콜롬비아
5510,커피원두(콜롬비아 슈프리모),2021-01-07,콜롬비아,콜롬비아
5511,베트남 로부스타 커피,2021-01-07,베트남,베트남
5512,맥아,2021-01-07,캐나다,캐나다
5513,양상추,2021-01-07,중국,중국
5514,건조양파,2021-01-07,중국,중국
5515,바나나,2021-01-07,필리핀,필리핀
5516,포도,2021-01-07,페루,페루
5517,녹두,2021-01-07,미국,미국
5518,신선당근,2021-01-07,중국,중국
5519,포도,2021-01-07,페루,페루
5520,포도,2021-01-07,페루,페루
5521,바나나,2021-01-07,필리핀,필리핀
5522,망고,2021-01-07,태국,태국
5523,바나나,2021-01-07,콜롬비아,콜롬비아
5524,리크,2021-01-07,벨기에,벨기에
5525,펜넬,2021-01-07,이탈리아,벨기에
5526,앤다이브(프리셰),2021-01-07,스페인,벨기에
5527,방울다다기 양배추,2021-01-07,벨기에,벨기에
5528,앤다이브(레드),2021-01-07,네덜란드,벨기에
5529,셀러리악,2021-01-07,네덜란드,벨기에
5530,레몬그라스,2021-01-07,태국,태국
5531,바나나꽃,2021-01-07,태국,태국
5532,송로버섯,2021-01-07,이탈리아,이탈리아
5533,갈랑갈,2021-01-07,태국,태국
5534,망고,2021-01-07,베트남,베트남
5535,바나나꽃,2021-01-07,태국,태국
5536,갈랑갈,2021-01-07,태국,태국
5537,레몬그라스,2021-01-07,태국,태국
