,제품명(한글),수입일자,제조국,수출국
4266,호밀,2021-01-14,캐나다,캐나다
4267,냉동 부추,2021-01-14,중국,중국
4268,냉동잣,2021-01-14,중국,중국
4269,신선양배추,2021-01-14,중국,중국
4270,하이비 아스파라거스 (5KG),2021-01-14,태국,태국
4271,포도,2021-01-14,페루,페루
4272,레몬,2021-01-14,미국,미국
4273,창출,2021-01-14,중국,중국
4274,신선우엉,2021-01-14,중국,중국
4275,삼채,2021-01-14,중국,중국
4276,신선마늘,2021-01-14,중국,중국
4277,신선우엉,2021-01-14,중국,중국
4278,마른줄기상추,2021-01-14,중국,중국
4279,단호박,2021-01-14,뉴질랜드,뉴질랜드
4280,커피원두,2021-01-14,베트남,베트남
4281,강황,2021-01-14,인도,인도
4282,체리,2021-01-14,칠레,칠레
4283,신선당근,2021-01-14,중국,중국
4284,파인애플,2021-01-14,필리핀,필리핀
4285,바나나,2021-01-14,필리핀,필리핀
4286,바나나,2021-01-14,필리핀,필리핀
4287,바나나,2021-01-14,필리핀,필리핀
4288,바나나,2021-01-14,필리핀,필리핀
4289,바나나,2021-01-14,필리핀,필리핀
4290,양상추,2021-01-14,필리핀,필리핀
4291,신선브로콜리,2021-01-14,중국,중국
4292,신선브로콜리,2021-01-14,중국,중국
4293,로즈마리 홀,2021-01-14,터키,터키
4294,단호박,2021-01-14,뉴질랜드,뉴질랜드
4295,해바라기씨,2021-01-14,중국,중국
4296,양상추,2021-01-14,중국,중국
4297,"양상추(잎,신선)",2021-01-14,중국,중국
4298,신선양상추,2021-01-14,중국,중국
4299,블루베리,2021-01-14,칠레,칠레
4300,해바라기씨,2021-01-14,불가리아,불가리아
4301,자몽,2021-01-14,이스라엘,이스라엘
4302,"석류(열매,신선)",2021-01-14,미국,미국
4303,망고,2021-01-14,태국,태국
4304,신선표고버섯,2021-01-14,중국,중국
4305,냉동곶감,2021-01-14,중국,중국
4306,바나나,2021-01-14,에콰도르,에콰도르
4307,표고버섯,2021-01-14,중국,중국
4308,신선당근,2021-01-14,중국,중국
4309,신선 마늘쫑,2021-01-14,중국,중국
4310,모과,2021-01-14,중국,중국
4311,건고추,2021-01-14,중국,중국
4312,유기농 히비스커스 (20kg),2021-01-14,라오스,라오스
4313,옥수수,2021-01-14,러시아,러시아
4314,커피원두,2021-01-14,브라질,브라질
4315,신선 단호박,2021-01-14,뉴질랜드,뉴질랜드
4316,커피원두,2021-01-14,브라질,브라질
4317,커피원두,2021-01-14,브라질,브라질
4318,커피원두,2021-01-14,브라질,브라질
4319,호밀,2021-01-14,캐나다,캐나다
4320,해바라기씨,2021-01-14,미국,미국
4321,블루베리 (310G),2021-01-14,칠레,칠레
4322,인디안 베이리프,2021-01-14,방글라데시,방글라데시
4323,월계수 잎,2021-01-14,터키,터키
4324,체리,2021-01-14,칠레,칠레
4325,단호박,2021-01-14,뉴질랜드,뉴질랜드
4326,체리,2021-01-14,칠레,칠레
4327,포도,2021-01-14,페루,페루
4328,포도,2021-01-14,페루,페루
4329,"포도(열매,신선)",2021-01-14,페루,페루
4330,포도,2021-01-14,페루,페루
4331,포도,2021-01-14,페루,페루
4332,체리,2021-01-14,칠레,칠레
4333,양상추,2021-01-14,중국,중국
4334,망고,2021-01-14,페루,페루
4335,커피생두,2021-01-14,브라질,브라질
4336,신선 브로콜리,2021-01-14,중국,중국
4337,오렌지,2021-01-14,미국,미국
4338,깐도라지,2021-01-14,중국,중국
4339,깐도라지,2021-01-14,중국,중국
4340,레몬,2021-01-14,미국,미국
4341,커피원두 (69KG),2021-01-14,과테말라,과테말라
4342,망고,2021-01-14,태국,태국
4343,양송이버섯,2021-01-14,중국,중국
4344,건양파,2021-01-14,중국,중국
4345,포도,2021-01-14,페루,페루
4346,포도,2021-01-14,페루,페루
4347,포도,2021-01-14,페루,페루
4348,포도,2021-01-14,페루,페루
4349,신선당근,2021-01-14,중국,중국
4350,신선밤,2021-01-14,중국,중국
4351,신선양파,2021-01-14,중국,중국
4352,블루베리,2021-01-14,칠레,칠레
4353,블루베리 (125G),2021-01-14,칠레,칠레
4354,앤다이브,2021-01-14,벨기에,벨기에
4355,파스닙,2021-01-14,벨기에,벨기에
4356,펜넬,2021-01-14,이탈리아,벨기에
4357,옥수수,2021-01-14,미국,미국
4358,옥수수,2021-01-14,미국,미국
4359,옥수수,2021-01-14,미국,미국
4360,"고추(열매,건조)",2021-01-14,중국,중국
4361,망고,2021-01-14,태국,태국
4362,망고,2021-01-14,태국,태국
4363,망고,2021-01-14,태국,태국
4364,초석잠,2021-01-14,중국,중국
4365,체리,2021-01-14,칠레,칠레
4366,망고,2021-01-14,베트남,베트남
4367,냉동홍고추,2021-01-14,중국,중국
4368,냉동홍고추,2021-01-14,중국,중국
4369,블루베리 (125g),2021-01-14,칠레,칠레
4370,신선우엉,2021-01-14,중국,중국
4371,소맥,2021-01-14,호주,호주
4372,신선깐마늘,2021-01-14,중국,중국
4373,"양파/신선,냉장",2021-01-14,중국,중국
4374,신선당근,2021-01-14,중국,중국
4375,대두,2021-01-14,러시아,러시아
4376,체리 (2.5KG),2021-01-14,칠레,칠레
4377,체리,2021-01-14,칠레,칠레
4378,건 목이버섯,2021-01-14,중국,중국
4379,호두,2021-01-14,미국,미국
4380,호두,2021-01-14,미국,미국
4381,호두,2021-01-14,미국,미국
4382,커피원두,2021-01-14,베트남,베트남
4383,옥수수,2021-01-14,미국,미국
4384,옥수수,2021-01-14,미국,미국
4385,아몬드,2021-01-14,미국,미국
4386,들깨,2021-01-14,중국,중국
4387,들깨,2021-01-14,중국,중국
4388,망고,2021-01-14,페루,페루
4389,망고,2021-01-14,페루,페루
4390,바실,2021-01-14,태국,태국
4391,레몬,2021-01-14,미국,미국
4392,망고,2021-01-14,호주,호주
4393,아몬드,2021-01-14,미국,미국
4394,커피 생두,2021-01-14,베트남,베트남
4395,아몬드,2021-01-14,미국,미국
4396,대두,2021-01-14,미국,미국
4397,오렌지,2021-01-14,미국,미국
4398,대두,2021-01-14,미국,미국
4399,냉동홍고추,2021-01-14,중국,중국
4400,사탕수수(10kg),2021-01-14,베트남,베트남
4401,히카마,2021-01-14,베트남,베트남
4402,냉동홍고추,2021-01-14,중국,중국
4403,커피생두,2021-01-14,콜롬비아,콜롬비아
4404,차이브,2021-01-14,이스라엘,이스라엘
4405,망고,2021-01-14,페루,페루
4406,곶감,2021-01-14,중국,중국
4407,커피원두,2021-01-14,에티오피아,에티오피아
4408,냉동홍고추,2021-01-14,중국,중국
4409,유기농 삼붕냐와잎,2021-01-14,라오스,라오스
4410,깐도라지,2021-01-14,중국,중국
4411,커피원두,2021-01-14,브라질,브라질
4412,아보카도,2021-01-14,멕시코,멕시코
4413,신선생강,2021-01-14,중국,중국
4414,오렌지,2021-01-14,미국,미국
4415,신선 단호박,2021-01-14,뉴질랜드,뉴질랜드
4416,신선우엉,2021-01-14,중국,중국
4417,신선 단호박,2021-01-14,뉴질랜드,뉴질랜드
4418,건노니,2021-01-14,베트남,베트남
4419,단호박 (600kg),2021-01-14,뉴질랜드,뉴질랜드
4420,라디치오,2021-01-14,미국,미국
4421,타피오카 칩,2021-01-14,베트남,베트남
4422,커피원두,2021-01-14,브라질,브라질
4423,커피원두,2021-01-14,브라질,브라질
4424,아보카도,2021-01-14,칠레,칠레
4425,포도,2021-01-14,페루,페루
4426,레몬그라스,2021-01-14,베트남,베트남
4427,신선표고,2021-01-14,중국,중국
4428,신선우엉,2021-01-14,중국,중국
