,제품명(한글),수입일자,제조국,수출국
8484,아보카도,2020-12-21,멕시코,멕시코
8485,바나나,2020-12-21,에콰도르,에콰도르
8486,갈랑갈,2020-12-21,태국,태국
8487,인도네시아 로부스타 커피,2020-12-21,인도네시아,인도네시아
8488,레몬그라스,2020-12-21,태국,태국
8489,하이비 아스파라거스 (5KG),2020-12-21,태국,태국
8490,기장,2020-12-21,중국,중국
8491,건고추,2020-12-21,중국,중국
8492,블루베리,2020-12-21,칠레,칠레
8493,망고,2020-12-21,태국,태국
8494,바나나,2020-12-21,에콰도르,에콰도르
8495,깐도라지,2020-12-21,중국,중국
8496,양배추,2020-12-21,중국,중국
8497,신선브로콜리,2020-12-21,중국,중국
8498,냉동고추,2020-12-21,중국,중국
8499,흑기장,2020-12-21,중국,중국
8500,신선지황,2020-12-21,중국,중국
8501,레몬그라스,2020-12-21,태국,태국
8502,타임,2020-12-21,이스라엘,이스라엘
8503,냉동 대파,2020-12-21,중국,중국
8504,양송이슬라이스,2020-12-21,프랑스,프랑스
8505,커클랜드 시그니춰 월넛,2020-12-21,미국,미국
8506,냉동 대파 9KG,2020-12-21,중국,중국
8507,냉동잣,2020-12-21,중국,중국
8508,냉동 양파,2020-12-21,중국,중국
8509,냉장감자,2020-12-21,미국,미국
8510,망고,2020-12-21,태국,태국
8511,바나나,2020-12-21,페루,페루
8512,들깨,2020-12-21,중국,중국
8513,꽃사슴생강,2020-12-21,중국,중국
8514,건더덕,2020-12-21,중국,중국
8515,"진흙버섯(자실체,건조)",2020-12-21,캄보디아,캄보디아
8516,체리,2020-12-21,칠레,칠레
8517,체리,2020-12-21,칠레,칠레
8518,아보카도,2020-12-21,멕시코,멕시코
8519,바나나,2020-12-21,베트남,베트남
8520,레몬,2020-12-21,미국,미국
8521,포도,2020-12-21,미국,미국
8522,커피원두,2020-12-21,콜롬비아,콜롬비아
8523,"바나나(13KG,2020.11.25)",2020-12-21,베트남,베트남
8524,냉동당근,2020-12-21,중국,중국
8525,냉동대파,2020-12-21,중국,중국
8526,대두,2020-12-21,중국,중국
8527,신선은행,2020-12-21,중국,중국
8528,커피원두,2020-12-21,브라질,브라질
8529,망고,2020-12-21,태국,태국
8530,송로버섯,2020-12-21,이탈리아,이탈리아
8531,송로버섯,2020-12-21,이탈리아,이탈리아
8532,망고,2020-12-21,호주,호주
8533,망고,2020-12-21,호주,호주
8534,바나나 꽃,2020-12-21,태국,태국
8535,망고,2020-12-21,태국,태국
8536,망고,2020-12-21,태국,태국
8537,건 취나물,2020-12-21,중국,중국
8538,레몬그라스,2020-12-21,베트남,베트남
8539,체리,2020-12-21,칠레,칠레
8540,방울다다기 양배추,2020-12-21,벨기에,벨기에
8541,곶감,2020-12-21,중국,중국
8542,신선우엉,2020-12-21,중국,중국
8543,늘푸른대파,2020-12-21,중국,중국
8544,신선깐양파,2020-12-21,중국,중국
8545,망고,2020-12-21,호주,호주
8546,신선대파,2020-12-21,중국,중국
8547,들깨,2020-12-21,중국,중국
8548,신선마늘쫑,2020-12-21,중국,중국
8549,망고,2020-12-21,베트남,베트남
8550,신선당근,2020-12-21,중국,중국
8551,신선당근,2020-12-21,중국,중국
8552,신선당근,2020-12-21,중국,중국
8553,신선당근,2020-12-21,중국,중국
8554,신선당근,2020-12-21,중국,중국
8555,신선당근,2020-12-21,중국,중국
8556,들깨,2020-12-21,중국,중국
8557,"산수유(열매,건조)",2020-12-21,중국,중국
8558,"망고(열매,신선)",2020-12-21,태국,태국
8559,들깨,2020-12-21,중국,중국
8560,대두,2020-12-21,러시아,러시아
8561,바나나,2020-12-21,페루,페루
8562,야자열매,2020-12-21,베트남,베트남
8563,육두구-42kg,2020-12-21,인도네시아,인도네시아
8564,신선당근,2020-12-21,중국,중국
8565,커피 생두,2020-12-21,브라질,미국
8566,커피원두,2020-12-21,브라질,브라질
8567,커피원두,2020-12-21,탄자니아,탄자니아
8568,자몽,2020-12-21,미국,미국
8569,들깨,2020-12-21,중국,중국
8570,신선더덕,2020-12-21,중국,중국
8571,망고 6kg,2020-12-21,필리핀,필리핀
8572,양배추,2020-12-21,중국,중국
8573,커피생두,2020-12-21,베트남,베트남
8574,신선우엉,2020-12-21,중국,중국
8575,깐더덕,2020-12-21,중국,중국
8576,냉동대파,2020-12-21,중국,중국
8577,"파인애플(12KG,2020.12.12)",2020-12-21,필리핀,필리핀
8578,신선당근,2020-12-21,중국,중국
8579,신선쪽파,2020-12-21,중국,중국
8580,"바나나(13KG,2020.12.12)",2020-12-21,필리핀,필리핀
8581,오렌지,2020-12-21,미국,미국
8582,망고,2020-12-21,태국,태국
8583,망고,2020-12-21,태국,태국
8584,블루베리,2020-12-21,칠레,칠레
8585,블루베리 125G,2020-12-21,칠레,칠레
8586,아스파라거스(6KG),2020-12-21,태국,태국
8587,브루셀스프라우트(방울다다기 양배추),2020-12-21,벨기에,벨기에
8588,엔다이브,2020-12-21,벨기에,벨기에
8589,망고,2020-12-21,페루,페루
8590,펜넬,2020-12-21,이탈리아,벨기에
8591,아스파라거스(5KG),2020-12-21,페루,페루
8592,블루베리,2020-12-21,칠레,칠레
8593,블루베리,2020-12-21,칠레,칠레
8594,마늘쫑(8KG),2020-12-21,중국,중국
8595,깐도라지,2020-12-21,중국,중국
8596,건 표고버섯,2020-12-21,중국,중국
8597,블루베리,2020-12-21,칠레,칠레
8598,깐우엉,2020-12-21,중국,중국
8599,맥주보리,2020-12-21,호주,호주
8600,신선마늘쫑,2020-12-21,중국,중국
8601,신선대파,2020-12-21,중국,중국
8602,신선당근,2020-12-21,중국,중국
8603,신선양파,2020-12-21,중국,중국
8604,단호박,2020-12-21,통가,뉴질랜드
8605,신선양파,2020-12-21,중국,중국
8606,단호박,2020-12-21,통가,뉴질랜드
8607,단호박,2020-12-21,통가,통가
8608,깐우엉,2020-12-21,중국,중국
8609,깐도라지,2020-12-21,중국,중국
8610,신선마늘쫑,2020-12-21,중국,중국
8611,커피생두,2020-12-21,탄자니아,탄자니아
8612,냉동홍고추,2020-12-21,중국,중국
8613,유기농바나나,2020-12-21,콜롬비아,콜롬비아
8614,호라산 밀,2020-12-21,캐나다,캐나다
8615,호라산 밀,2020-12-21,캐나다,캐나다
8616,실론계피,2020-12-21,스리랑카,스리랑카
8617,선선깐양파,2020-12-21,중국,중국
8618,유기농 바나나,2020-12-21,페루,페루
8619,냉동고추,2020-12-21,중국,중국
8620,유기농 바나나,2020-12-21,페루,페루
8621,유기농 바나나,2020-12-21,페루,페루
8622,로즈마리,2020-12-21,이스라엘,이스라엘
8623,샬롯,2020-12-21,태국,태국
8624,앤다이브,2020-12-21,네덜란드,네덜란드
8625,바나나 꽃,2020-12-21,태국,태국
8626,갈랑갈,2020-12-21,태국,태국
8627,망고,2020-12-21,페루,페루
8628,체리,2020-12-21,칠레,칠레
8629,방울다다기 양배추,2020-12-21,벨기에,벨기에
8630,체리,2020-12-21,칠레,칠레
8631,아스파라거스,2020-12-21,페루,페루
8632,차이브,2020-12-21,이스라엘,이스라엘
8633,앤다이브(프리셰),2020-12-21,스페인,네덜란드
8634,아스파라거스,2020-12-21,페루,페루
8635,체리,2020-12-21,칠레,칠레
8636,체리,2020-12-21,칠레,칠레
8637,체리,2020-12-21,칠레,칠레
8638,체리,2020-12-21,칠레,칠레
8639,체리,2020-12-21,칠레,칠레
8640,아스파라거스,2020-12-21,페루,페루
8641,체리,2020-12-21,칠레,칠레
8642,체리,2020-12-21,칠레,칠레
8643,체리,2020-12-21,칠레,칠레
8644,체리,2020-12-21,칠레,칠레
8645,체리,2020-12-21,칠레,칠레
8646,체리,2020-12-21,칠레,칠레
8647,체리,2020-12-21,칠레,칠레
8648,망고,2020-12-21,태국,태국
8649,망고,2020-12-21,태국,태국
8650,망고,2020-12-21,태국,태국
8651,체리,2020-12-21,뉴질랜드,뉴질랜드
8652,체리,2020-12-21,칠레,칠레
8653,송로버섯,2020-12-21,이탈리아,이탈리아
8654,체리,2020-12-21,칠레,칠레
8655,체리,2020-12-21,칠레,칠레
8656,망고,2020-12-21,페루,페루
8657,체리,2020-12-21,뉴질랜드,뉴질랜드
8658,프리제(FRISEE),2020-12-21,스페인,벨기에
8659,파스니프,2020-12-21,벨기에,벨기에
8660,아스파라거스 5KG,2020-12-21,페루,페루
8661,체리,2020-12-21,칠레,칠레
8662,엔다이브,2020-12-21,벨기에,벨기에
8663,레드 엔다이브,2020-12-21,네덜란드,벨기에
8664,로즈마리,2020-12-21,이스라엘,이스라엘
8665,아스파라거스 4KG,2020-12-21,페루,페루
8666,망고,2020-12-21,베트남,베트남
8667,건니파야자순,2020-12-21,인도네시아,인도네시아
8668,브라질 너트,2020-12-21,페루,페루
8669,냉동홍고추,2020-12-21,중국,중국
8670,냉동홍고추,2020-12-21,중국,중국
8671,가차이(10 KG),2020-12-21,태국,태국
8672,핑거루트,2020-12-21,태국,태국
8673,강낭콩,2020-12-21,중국,중국
8674,냉동고추,2020-12-21,중국,중국
8675,신선핑거루트,2020-12-21,태국,태국
8676,냉동홍고추,2020-12-21,중국,중국
8677,냉동홍고추,2020-12-21,중국,중국
8678,냉동홍고추,2020-12-21,중국,중국
8679,신선우엉,2020-12-21,중국,중국
8680,망고,2020-12-21,페루,페루
8681,브루셀스프라우트(방울다다기 양배추),2020-12-21,벨기에,벨기에
8682,냉동홍고추,2020-12-21,중국,중국
8683,냉동홍고추,2020-12-21,중국,중국
8684,"파파야(5KG,2020.12.02)",2020-12-21,필리핀,필리핀
8685,콩나물,2020-12-21,중국,중국
8686,곶감,2020-12-21,중국,중국
8687,대두,2020-12-21,미국,미국
8688,냉동고추,2020-12-21,중국,중국
8689,냉동홍고추,2020-12-21,중국,중국
8690,바나나,2020-12-21,콜롬비아,콜롬비아
8691,체리,2020-12-21,칠레,칠레
8692,파인애플,2020-12-21,필리핀,필리핀
8693,냉동그린빈,2020-12-21,중국,중국
8694,파인애플,2020-12-21,필리핀,필리핀
8695,건고추,2020-12-21,중국,중국
8696,냉동목별,2020-12-21,베트남,베트남
8697,베트남커피원두,2020-12-21,베트남,베트남
8698,베트남커피원두,2020-12-21,베트남,베트남
8699,망고,2020-12-21,페루,페루
8700,냉동고추,2020-12-21,중국,중국
8701,냉동 홍고추,2020-12-21,중국,중국
8702,커피생두,2020-12-21,콜롬비아,콜롬비아
8703,커피원두,2020-12-21,인도네시아,인도네시아
8704,포도,2020-12-21,미국,미국
8705,포도,2020-12-21,미국,미국
8706,포도,2020-12-21,미국,미국
8707,포도,2020-12-21,미국,미국
8708,레몬,2020-12-21,미국,미국
8709,포도 (8.6KG),2020-12-21,미국,미국
8710,포도,2020-12-21,미국,미국
8711,포도,2020-12-21,미국,미국
8712,포도,2020-12-21,미국,미국
8713,포도,2020-12-21,미국,미국
8714,포도,2020-12-21,미국,미국
8715,과테말라 커피빈,2020-12-21,과테말라,과테말라
8716,감자,2020-12-21,미국,미국
8717,맥아,2020-12-21,캐나다,캐나다
8718,피칸,2020-12-21,미국,미국
8719,적두,2020-12-21,캐나다,캐나다
8720,메로골드,2020-12-21,미국,미국
8721,석류,2020-12-21,미국,미국
8722,석류,2020-12-21,미국,미국
8723,자몽,2020-12-21,미국,미국
8724,과테말라 커피,2020-12-21,과테말라,과테말라
8725,신선양파,2020-12-21,중국,중국
8726,맥아,2020-12-21,덴마크,덴마크
8727,캐슈넛,2020-12-21,인도네시아,인도네시아
8728,망고,2020-12-21,베트남,베트남
8729,캐슈넛,2020-12-21,베트남,베트남
8730,단호박,2020-12-21,통가,뉴질랜드
8731,블랙 페퍼 홀(160G),2020-12-21,벨기에,벨기에
8732,월계수잎,2020-12-21,터키,벨기에
8733,에티오피아 아라비카 커피 원두,2020-12-21,에티오피아,중국
8734,커피 생두,2020-12-21,콜롬비아,콜롬비아
8735,냉동배추,2020-12-21,중국,중국
8736,냉동블루베리,2020-12-21,미국,미국
8737,커피 생두,2020-12-21,과테말라,과테말라
8738,커피 생두,2020-12-21,브라질,브라질
8739,냉동대파,2020-12-21,중국,중국
8740,냉동얼갈이,2020-12-21,중국,중국
8741,냉동깐밤,2020-12-21,중국,중국
8742,냉동알밤,2020-12-21,중국,중국
8743,버번바닐라빈,2020-12-21,마다가스카르,프랑스
8744,냉동양파,2020-12-21,중국,중국
8745,캐슈넛,2020-12-21,베트남,베트남
8746,냉동마늘,2020-12-21,중국,중국
8747,냉동 마늘편,2020-12-21,중국,중국
8748,냉동청양고추,2020-12-21,중국,중국
8749,냉동브로콜리,2020-12-21,중국,중국
8750,캐슈넛,2020-12-21,베트남,베트남
8751,건파8R,2020-12-21,중국,중국
8752,냉동 양파,2020-12-21,중국,중국
8753,미니당근,2020-12-21,프랑스,프랑스
8754,냉동 양파(2KG),2020-12-21,중국,중국
