,제품명(한글),수입일자,제조국,수출국
3756,피스타치오(탈각),2021-01-18,미국,미국
3757,호두,2021-01-18,미국,미국
3758,냉동대파,2021-01-18,중국,중국
3759,피스타치오,2021-01-18,미국,미국
3760,건파후레이크,2021-01-18,중국,중국
3761,캐슈넛,2021-01-18,베트남,베트남
3762,호박씨,2021-01-18,중국,중국
3763,아몬드,2021-01-18,미국,미국
3764,마카다미아,2021-01-18,호주,호주
3765,마카다미아,2021-01-18,호주,호주
3766,냉동양파,2021-01-18,중국,중국
3767,냉동딸기,2021-01-18,칠레,칠레
3768,냉동마늘,2021-01-18,중국,중국
3769,커피 생두,2021-01-18,에티오피아,에티오피아
3770,호두(11.34KG),2021-01-18,미국,미국
3771,차전자피,2021-01-18,인도,인도
3772,호두,2021-01-18,미국,미국
3773,호두,2021-01-18,미국,미국
3774,냉동마늘,2021-01-18,중국,중국
3775,도토리,2021-01-18,중국,중국
3776,냉동 양파,2021-01-18,중국,중국
3777,냉동송이버섯,2021-01-18,중국,중국
3778,냉동 브로컬리,2021-01-18,중국,중국
3779,냉동블루베리,2021-01-18,미국,미국
3780,커피 생두,2021-01-18,에티오피아,에티오피아
3781,냉동 연근,2021-01-18,중국,중국
3782,표고버섯1KG,2021-01-18,중국,중국
3783,냉동마늘,2021-01-18,중국,중국
3784,냉동대파,2021-01-18,중국,중국
3785,냉동고추,2021-01-18,베트남,베트남
3786,냉동브로콜리,2021-01-18,중국,중국
3787,냉동아스파라거스,2021-01-18,중국,중국
3788,냉동 오크라,2021-01-18,중국,중국
3789,냉동 표고버섯,2021-01-18,중국,중국
3790,결명자,2021-01-18,중국,중국
3791,커피원두,2021-01-18,인도,인도
3792,망고,2021-01-18,베트남,베트남
3793,표고버섯,2021-01-18,중국,중국
3794,완두콩반태,2021-01-18,미국,미국
3795,냉동고추,2021-01-18,중국,중국
3796,쿨란트로,2021-01-18,베트남,베트남
3797,계피,2021-01-18,베트남,베트남
3798,블루베리,2021-01-18,칠레,칠레
3799,신선우엉,2021-01-18,중국,중국
3800,백 출,2021-01-18,중국,중국
3801,커피원두,2021-01-18,에티오피아,에티오피아
3802,대두,2021-01-18,미국,미국
3803,커피생두,2021-01-18,에티오피아,에티오피아
3804,망고,2021-01-18,필리핀,필리핀
3805,신선 양파,2021-01-18,중국,중국
3806,파인애플(15KG),2021-01-18,필리핀,필리핀
3807,냉동다이스양파,2021-01-18,중국,중국
3808,송로버섯,2021-01-18,이탈리아,이탈리아
3809,두리안,2021-01-18,태국,태국
3810,망고,2021-01-18,페루,페루
3811,망고,2021-01-18,페루,페루
3812,망고,2021-01-18,호주,호주
3813,체리,2021-01-18,칠레,칠레
3814,망고,2021-01-18,페루,페루
3815,망고,2021-01-18,호주,호주
3816,바나나 꽃,2021-01-18,태국,태국
3817,망고,2021-01-18,페루,페루
3818,신선핑거루트,2021-01-18,태국,태국
3819,레몬그래스,2021-01-18,태국,태국
3820,신선 갈랑갈,2021-01-18,태국,태국
3821,판다누스잎,2021-01-18,태국,태국
3822,샬롯,2021-01-18,태국,태국
3823,냉동그린빈스,2021-01-18,스페인,스페인
3824,렌틸(렌즈)콩,2021-01-18,캐나다,캐나다
3825,대추야자 1kg,2021-01-18,아랍에미리트,아랍에미리트
3826,마카다미아,2021-01-18,호주,호주
3827,아몬드슬라이스,2021-01-18,미국,미국
3828,냉동부추,2021-01-18,중국,중국
3829,냉동양파다이스,2021-01-18,중국,중국
3830,건파,2021-01-18,중국,중국
3831,자몽,2021-01-18,미국,미국
3832,브라질커피원두,2021-01-18,브라질,브라질
3833,브라질커피원두,2021-01-18,브라질,브라질
3834,자몽,2021-01-18,미국,미국
3835,팝콘,2021-01-18,미국,미국
3836,체리 (2.5KG),2021-01-18,칠레,칠레
3837,깐호두,2021-01-18,미국,미국
3838,핑거루트,2021-01-18,태국,태국
3839,커피원두,2021-01-18,콜롬비아,콜롬비아
3840,커피원두,2021-01-18,콜롬비아,콜롬비아
3841,신선밤,2021-01-18,중국,중국
3842,망고,2021-01-18,태국,태국
3843,핑거루트,2021-01-18,태국,태국
3844,강낭콩,2021-01-18,캐나다,캐나다
3845,자몽,2021-01-18,미국,미국
3846,콩나물콩,2021-01-18,미국,미국
3847,냉동홍고추,2021-01-18,중국,중국
3848,냉동홍고추,2021-01-18,중국,중국
3849,냉동브로컬리,2021-01-18,스페인,스페인
3850,냉동브로컬리,2021-01-18,스페인,스페인
3851,마카다미아,2021-01-18,호주,호주
3852,마카다미아,2021-01-18,호주,호주
3853,"아몬드(견과,건조)",2021-01-18,미국,미국
3854,커피원두,2021-01-18,에티오피아,에티오피아
3855,깐녹두,2021-01-18,미얀마,미얀마
3856,신선생강,2021-01-18,중국,중국
3857,신선양파,2021-01-18,중국,중국
3858,브라질 너트,2021-01-18,페루,페루
3859,베트남커피원두,2021-01-18,베트남,베트남
3860,신선양파,2021-01-18,중국,중국
3861,베트남커피원두,2021-01-18,베트남,베트남
3862,바실,2021-01-18,태국,태국
3863,커피원두,2021-01-18,콜롬비아,콜롬비아
3864,커피원두,2021-01-18,콜롬비아,콜롬비아
3865,바나나,2021-01-18,콜롬비아,콜롬비아
3866,체리,2021-01-18,칠레,칠레
3867,신선당근,2021-01-18,중국,중국
3868,신선당근,2021-01-18,중국,중국
3869,신선당근,2021-01-18,중국,중국
3870,신선당근,2021-01-18,중국,중국
3871,사탕수수,2021-01-18,베트남,베트남
3872,수수,2021-01-18,중국,중국
3873,레몬그라스,2021-01-18,베트남,베트남
3874,야자열매,2021-01-18,베트남,베트남
3875,신선당근,2021-01-18,중국,중국
3876,신선마늘쫑,2021-01-18,중국,중국
3877,신선당근,2021-01-18,중국,중국
3878,양파,2021-01-18,중국,중국
3879,블루베리(125G),2021-01-18,칠레,칠레
3880,율무,2021-01-18,중국,중국
3881,파인애플 (13.3KG),2021-01-18,필리핀,필리핀
3882,백맥,2021-01-18,호주,호주
3883,적맥,2021-01-18,호주,호주
