,제품명(한글),수입일자,제조국,수출국
4046,건조대추야자,2021-01-15,이란,이란
4047,아몬드,2021-01-15,미국,미국
4048,건파,2021-01-15,중국,중국
4049,스완 필스너,2021-01-15,네덜란드,네덜란드
4050,코리앤더홀,2021-01-15,파키스탄,파키스탄
4051,냉동 양파,2021-01-15,중국,중국
4052,커클랜드 시그니춰 스트로베리     (#692290),2021-01-15,미국,미국
4053,냉동 마늘,2021-01-15,중국,중국
4054,마카다미아,2021-01-15,호주,호주
4055,냉동 양파,2021-01-15,중국,중국
4056,냉동능이버섯,2021-01-15,중국,중국
4057,블루베리,2021-01-15,미국,미국
4058,냉동 마늘쫑,2021-01-15,중국,중국
4059,해바라기씨,2021-01-15,중국,중국
4060,블루베리(13.61kg),2021-01-15,미국,미국
4061,호두,2021-01-15,미국,미국
4062,냉동 양파,2021-01-15,중국,중국
4063,냉동마늘,2021-01-15,중국,중국
4064,냉동마늘,2021-01-15,중국,중국
4065,냉동마늘,2021-01-15,중국,중국
4066,냉동피망,2021-01-15,중국,중국
4067,냉동대파,2021-01-15,중국,중국
4068,냉동대파,2021-01-15,중국,중국
4069,냉동마늘,2021-01-15,중국,중국
4070,계피,2021-01-15,베트남,베트남
4071,냉동대파,2021-01-15,중국,중국
4072,냉동고추,2021-01-15,중국,중국
4073,도토리,2021-01-15,중국,중국
4074,유기농바나나,2021-01-15,콜롬비아,콜롬비아
4075,아보카도,2021-01-15,멕시코,멕시코
4076,체리,2021-01-15,칠레,칠레
4077,바나나,2021-01-15,콜롬비아,콜롬비아
4078,체리,2021-01-15,칠레,칠레
4079,바나나,2021-01-15,필리핀,필리핀
4080,바나나,2021-01-15,필리핀,필리핀
4081,커피원두,2021-01-15,베트남,베트남
4082,포도,2021-01-15,페루,페루
4083,자몽,2021-01-15,이스라엘,이스라엘
4084,바나나,2021-01-15,필리핀,필리핀
4085,신선양배추,2021-01-15,중국,중국
4086,깐도라지,2021-01-15,중국,중국
4087,블루베리 125G,2021-01-15,칠레,칠레
4088,고추냉이(5kg),2021-01-15,일본,일본
4089,갈랑갈,2021-01-15,태국,태국
4090,레몬그라스,2021-01-15,태국,태국
4091,야자,2021-01-15,베트남,베트남
4092,체리,2021-01-15,칠레,칠레
4093,냉동당근,2021-01-15,중국,중국
4094,냉동양파,2021-01-15,중국,중국
4095,커피생두,2021-01-15,콜롬비아,콜롬비아
4096,체리,2021-01-15,칠레,칠레
4097,"대두(씨앗,건조)콩나물콩",2021-01-15,미국,미국
4098,커피원두,2021-01-15,베트남,베트남
