,제품명(한글),수입일자,제조국,수출국
1676,신선양상추,2021-01-28,중국,중국
1677,레몬그라스,2021-01-28,베트남,베트남
1678,용과,2021-01-28,베트남,베트남
1679,아보카도,2021-01-28,멕시코,멕시코
1680,신선 양상추,2021-01-28,중국,중국
1681,양상추,2021-01-28,중국,중국
1682,상추,2021-01-28,베트남,베트남
1683,늘푸른대파,2021-01-28,중국,중국
1684,야자열매,2021-01-28,베트남,베트남
1685,망고,2021-01-28,베트남,베트남
1686,신선밤,2021-01-28,중국,중국
1687,신선대파,2021-01-28,중국,중국
1688,신선우엉,2021-01-28,중국,중국
1689,포도,2021-01-28,칠레,칠레
1690,양배추,2021-01-28,중국,중국
1691,신선 표고버섯,2021-01-28,중국,중국
1692,냉동잣,2021-01-28,중국,중국
1693,건조 통카빈,2021-01-28,브라질,브라질
1694,건애호박,2021-01-28,우즈베키스탄,우즈베키스탄
1695,냉동마늘,2021-01-28,중국,중국
1696,냉동 당근,2021-01-28,중국,중국
1697,신선밤,2021-01-28,중국,중국
1698,신선표고버섯,2021-01-28,중국,중국
1699,포도,2021-01-28,칠레,칠레
1700,망고,2021-01-28,태국,태국
1701,망고,2021-01-28,태국,태국
1702,망고,2021-01-28,태국,태국
1703,망고,2021-01-28,태국,태국
1704,망고,2021-01-28,태국,태국
1705,신선우엉,2021-01-28,중국,중국
1706,망고,2021-01-28,태국,태국
1707,황기,2021-01-28,중국,중국
1708,강낭콩,2021-01-28,우크라이나,우크라이나
1709,커피생두,2021-01-28,인도네시아,인도네시아
1710,신선생강,2021-01-28,중국,중국
1711,브루셀스프라우트(방울다다기 양배추),2021-01-28,벨기에,벨기에
1712,망고,2021-01-28,페루,페루
1713,아보카도,2021-01-28,멕시코,멕시코
1714,커피원두,2021-01-28,에티오피아,에티오피아
1715,갈랑갈,2021-01-28,태국,태국
1716,레몬그라스,2021-01-28,태국,태국
1717,신선송로버섯,2021-01-28,중국,중국
1718,아보카도,2021-01-28,멕시코,멕시코
1719,유기농 생 캐슈넛,2021-01-28,인도,인도
1720,신선생강,2021-01-28,중국,중국
1721,생땅콩,2021-01-28,중국,중국
1722,신선당근,2021-01-28,중국,중국
1723,신선양파,2021-01-28,중국,중국
1724,신선양파,2021-01-28,중국,중국
1725,포도,2021-01-28,칠레,칠레
1726,포도,2021-01-28,칠레,칠레
1727,포도,2021-01-28,칠레,칠레
1728,망고,2021-01-28,페루,페루
1729,망고,2021-01-28,페루,페루
1730,셀러리악,2021-01-28,네덜란드,벨기에
1731,아스파라거스,2021-01-28,멕시코,미국
1732,방울다다기 양배추,2021-01-28,벨기에,벨기에
1733,캐슈넛,2021-01-28,베트남,베트남
1734,망고,2021-01-28,태국,태국
1735,망고,2021-01-28,태국,태국
1736,커피원두(콜롬비아 슈프리모),2021-01-28,콜롬비아,콜롬비아
1737,건목이버섯,2021-01-28,중국,중국
1738,망고,2021-01-28,태국,태국
1739,망고,2021-01-28,태국,태국
1740,망고,2021-01-28,태국,태국
1741,신선양파,2021-01-28,중국,중국
1742,신선양파,2021-01-28,중국,중국
1743,신선마늘쫑,2021-01-28,중국,중국
1744,커피원두,2021-01-28,콜롬비아,콜롬비아
1745,신선더덕,2021-01-28,중국,중국
1746,커피원두,2021-01-28,브라질,브라질
1747,신선 단호박,2021-01-28,뉴질랜드,뉴질랜드
1748,깐도라지,2021-01-28,중국,중국
1749,깐도라지,2021-01-28,중국,중국
1750,깐도라지 (2KG),2021-01-28,중국,중국
1751,깐도라지,2021-01-28,중국,중국
1752,깐도라지,2021-01-28,중국,중국
1753,육두구,2021-01-28,인도네시아,인도네시아
1754,마른줄기상추,2021-01-28,중국,중국
1755,삼채,2021-01-28,중국,중국
1756,신선감초/18KG,2021-01-28,중국,중국
1757,신선브로콜리,2021-01-28,중국,중국
1758,신선당근,2021-01-28,중국,중국
1759,신선무우,2021-01-28,중국,중국
1760,건대추,2021-01-28,중국,중국
1761,당근,2021-01-28,중국,중국
1762,신선부추,2021-01-28,중국,중국
1763,송로버섯,2021-01-28,이탈리아,이탈리아
1764,기장,2021-01-28,중국,중국
1765,호두,2021-01-28,미국,미국
1766,망고,2021-01-28,태국,태국
1767,망고,2021-01-28,태국,태국
1768,하이비 아스파라거스 (5KG),2021-01-28,태국,태국
1769,대두,2021-01-28,미국,미국
1770,망고,2021-01-28,페루,페루
1771,망고,2021-01-28,페루,페루
1772,망고,2021-01-28,페루,페루
1773,아스파라거스,2021-01-28,태국,태국
1774,아스파라거스,2021-01-28,태국,태국
1775,포도,2021-01-28,칠레,칠레
1776,체리,2021-01-28,칠레,칠레
1777,페루커피원두,2021-01-28,페루,페루
1778,신선대파,2021-01-28,중국,중국
1779,바나나,2021-01-28,필리핀,필리핀
1780,바나나,2021-01-28,에콰도르,에콰도르
1781,강낭콩,2021-01-28,미국,미국
1782,신선대파,2021-01-28,중국,중국
1783,흰강낭콩,2021-01-28,미국,미국
1784,대두,2021-01-28,캐나다,캐나다
1785,냉동홍고추,2021-01-28,베트남,베트남
1786,"바닐라(열매,건조)",2021-01-28,마다가스카르,마다가스카르
1787,포도,2021-01-28,칠레,칠레
1788,포도,2021-01-28,칠레,칠레
1789,포도,2021-01-28,칠레,칠레
1790,포도,2021-01-28,칠레,칠레
1791,블루베리,2021-01-28,칠레,칠레
1792,커피생두,2021-01-28,콜롬비아,콜롬비아
1793,포도,2021-01-28,칠레,칠레
1794,블루베리 (125G),2021-01-28,칠레,칠레
1795,콜롬비아  커피원두,2021-01-28,콜롬비아,콜롬비아
1796,바나나 꽃,2021-01-28,태국,태국
1797,깐도라지,2021-01-28,중국,중국
1798,신선 표고버섯,2021-01-28,중국,중국
1799,신선우엉,2021-01-28,중국,중국
1800,양상추,2021-01-28,중국,중국
1801,신선깐양파,2021-01-28,중국,중국
1802,기장,2021-01-28,중국,중국
1803,건대추,2021-01-28,중국,중국
1804,건대추,2021-01-28,중국,중국
1805,건대추,2021-01-28,중국,중국
1806,건대추,2021-01-28,중국,중국
1807,신선브로콜리,2021-01-28,중국,중국
1808,깐우엉,2021-01-28,중국,중국
1809,아보카도,2021-01-28,멕시코,멕시코
1810,아보카도,2021-01-28,멕시코,멕시코
1811,포도,2021-01-28,페루,페루
1812,포도,2021-01-28,페루,페루
1813,자몽,2021-01-28,이스라엘,이스라엘
1814,"바나나(열매,신선)",2021-01-28,필리핀,필리핀
1815,바나나,2021-01-28,필리핀,필리핀
1816,바나나,2021-01-28,필리핀,필리핀
1817,냉동홍고추,2021-01-28,중국,중국
1818,건 목이버섯,2021-01-28,중국,중국
1819,신선우엉,2021-01-28,중국,중국
1820,신선 양파,2021-01-28,중국,중국
1821,밤,2021-01-28,중국,중국
1822,신선양상추,2021-01-28,중국,중국
1823,"양상추(잎,신선)",2021-01-28,중국,중국
1824,건고추,2021-01-28,중국,중국
1825,신선브로콜리,2021-01-28,중국,중국
1826,냉동고추,2021-01-28,중국,중국
1827,페루커피원두,2021-01-28,페루,페루
1828,아몬드,2021-01-28,미국,미국
1829,"오미자(열매,건조)",2021-01-28,중국,중국
1830,창출,2021-01-28,중국,중국
1831,천궁,2021-01-28,중국,중국
1832,건대추,2021-01-28,중국,중국
1833,샬롯,2021-01-28,태국,태국
1834,실론계피,2021-01-28,스리랑카,스리랑카
1835,냉동홍고추,2021-01-28,중국,중국
1836,참깨,2021-01-28,중국,중국
1837,냉동홍고추,2021-01-28,중국,중국
1838,냉동홍고추,2021-01-28,중국,중국
1839,유기농 호두,2021-01-28,미국,미국
1840,신선파파야,2021-01-28,필리핀,필리핀
1841,샬롯,2021-01-28,베트남,베트남
1842,참깨,2021-01-28,중국,중국
1843,"파파야(5KG,2021.01.13)",2021-01-28,필리핀,필리핀
1844,쌀,2021-01-28,미국,미국
1845,신선대파,2021-01-28,중국,중국
1846,인진,2021-01-28,중국,중국
1847,냉동 깐밤,2021-01-28,중국,중국
1848,호두,2021-01-28,미국,미국
1849,냉동홍고추,2021-01-28,중국,중국
1850,진피,2021-01-28,중국,중국
1851,냉동고추,2021-01-28,중국,중국
1852,신선대파,2021-01-28,중국,중국
1853,커피원두,2021-01-28,케냐,독일
1854,콩나물,2021-01-28,중국,중국
1855,송로버섯,2021-01-28,이탈리아,이탈리아
1856,대두,2021-01-28,미국,미국
1857,스틱계피,2021-01-28,베트남,베트남
1858,팥,2021-01-28,중국,중국
1859,냉동고추,2021-01-28,중국,중국
1860,알땅콩,2021-01-28,중국,중국
1861,앤다이브,2021-01-28,벨기에,벨기에
1862,앤다이브(레드),2021-01-28,네덜란드,벨기에
1863,망고,2021-01-28,페루,페루
1864,두리안,2021-01-28,태국,태국
1865,신선우엉,2021-01-28,중국,중국
1866,표고버섯,2021-01-28,중국,중국
1867,깐도라지,2021-01-28,중국,중국
1868,신선당근,2021-01-28,중국,중국
1869,신선우엉,2021-01-28,중국,중국
1870,신선 마늘쫑,2021-01-28,중국,중국
1871,신선당근,2021-01-28,중국,중국
1872,표고버섯,2021-01-28,중국,중국
1873,고추냉이(5kg),2021-01-28,일본,일본
1874,소맥,2021-01-28,호주,호주
1875,시나몬스틱,2021-01-28,베트남,베트남
1876,백작약,2021-01-28,중국,중국
1877,소맥,2021-01-28,호주,호주
1878,호주백맥,2021-01-28,호주,호주
1879,신선 양파,2021-01-28,중국,중국
1880,건고추,2021-01-28,중국,중국
1881,참깨,2021-01-28,중국,중국
1882,바나나,2021-01-28,에콰도르,에콰도르
1883,블랙차나,2021-01-28,호주,호주
1884,커피원두,2021-01-28,에티오피아,에티오피아
1885,신선우엉,2021-01-28,중국,중국
1886,맥아,2021-01-28,덴마크,덴마크
1887,맥아,2021-01-28,덴마크,덴마크
1888,포도,2021-01-28,칠레,칠레
1889,인도 커피원두,2021-01-28,인도,인도
1890,통계피,2021-01-28,베트남,베트남
1891,여주,2021-01-28,베트남,베트남
1892,바닐라빈 (16CM+),2021-01-28,파푸아뉴기니,파푸아뉴기니
1893,스타 아니스,2021-01-28,벨기에,벨기에
1894,냉동표고버섯(1KG),2021-01-28,중국,중국
