,제품명(한글),수입일자,제조국,수출국
3284,신선표고버섯,2021-01-20,중국,중국
3285,자몽,2021-01-20,미국,미국
3286,바나나,2021-01-20,멕시코,멕시코
3287,아보카도,2021-01-20,멕시코,멕시코
3288,체리 (2.5KG),2021-01-20,칠레,칠레
3289,체리,2021-01-20,칠레,칠레
3290,자몽,2021-01-20,미국,미국
3291,자몽,2021-01-20,이스라엘,이스라엘
3292,소맥,2021-01-20,호주,호주
3293,피칸,2021-01-20,미국,미국
3294,자몽,2021-01-20,미국,미국
3295,옥수수(씨앗),2021-01-20,인도,인도
3296,냉동 대파 10KG,2021-01-20,중국,중국
3297,냉동 당근,2021-01-20,중국,중국
3298,망고,2021-01-20,페루,페루
3299,커피원두(브라질-산토스),2021-01-20,브라질,브라질
3300,커피생두,2021-01-20,브라질,브라질
3301,포도,2021-01-20,칠레,칠레
3302,포도,2021-01-20,칠레,칠레
3303,바나나,2021-01-20,필리핀,필리핀
3304,바나나,2021-01-20,필리핀,필리핀
3305,바나나,2021-01-20,필리핀,필리핀
3306,바나나,2021-01-20,필리핀,필리핀
3307,파인애플,2021-01-20,필리핀,필리핀
3308,양상추,2021-01-20,필리핀,필리핀
3309,밀맥아,2021-01-20,독일,독일
3310,포도,2021-01-20,칠레,칠레
3311,커피원두,2021-01-20,브라질,브라질
3312,체리,2021-01-20,칠레,칠레
3313,바나나,2021-01-20,콜롬비아,콜롬비아
3314,망고,2021-01-20,페루,페루
3315,망고,2021-01-20,페루,페루
3316,망고,2021-01-20,페루,페루
3317,깐더덕,2021-01-20,중국,중국
3318,강낭콩,2021-01-20,중국,중국
3319,"망고(열매,신선)",2021-01-20,태국,태국
3320,"당귀(뿌리,건조)",2021-01-20,중국,중국
3321,망고,2021-01-20,태국,태국
3322,소맥,2021-01-20,호주,호주
3323,단호박,2021-01-20,뉴질랜드,뉴질랜드
3324,단호박 (600kg),2021-01-20,뉴질랜드,뉴질랜드
3325,커피생두,2021-01-20,콜롬비아,콜롬비아
3326,바나나,2021-01-20,에콰도르,에콰도르
3327,망고,2021-01-20,태국,태국
3328,바나나,2021-01-20,에콰도르,에콰도르
3329,바나나,2021-01-20,에콰도르,에콰도르
3330,귀리,2021-01-20,캐나다,캐나다
3331,바나나,2021-01-20,에콰도르,에콰도르
3332,바나나,2021-01-20,인도네시아,인도네시아
3333,자몽,2021-01-20,미국,미국
3334,귀리,2021-01-20,캐나다,캐나다
3335,자몽,2021-01-20,미국,미국
3336,후레쉬코코넛,2021-01-20,베트남,베트남
3337,냉동고추,2021-01-20,중국,중국
3338,망고,2021-01-20,호주,호주
3339,오렌지,2021-01-20,미국,미국
3340,망고,2021-01-20,베트남,베트남
3341,아몬드,2021-01-20,미국,미국
3342,신선당근,2021-01-20,중국,중국
3343,신선마늘쫑,2021-01-20,중국,중국
3344,냉동홍고추,2021-01-20,중국,중국
3345,동부콩,2021-01-20,인도,인도
3346,커피원두,2021-01-20,브라질,브라질
3347,신선양파,2021-01-20,중국,중국
3348,신선당근,2021-01-20,중국,중국
3349,신선 양파,2021-01-20,중국,중국
3350,냉동홍고추,2021-01-20,중국,중국
3351,포도,2021-01-20,페루,페루
3352,포도,2021-01-20,페루,페루
3353,자몽(15KG),2021-01-20,이스라엘,이스라엘
3354,포도,2021-01-20,페루,페루
3355,포도,2021-01-20,페루,페루
3356,포도,2021-01-20,페루,페루
3357,망고,2021-01-20,페루,페루
3358,망고,2021-01-20,페루,페루
3359,포도,2021-01-20,페루,페루
3360,망고,2021-01-20,페루,페루
3361,포도,2021-01-20,페루,페루
3362,망고,2021-01-20,페루,페루
3363,신선 단호박,2021-01-20,뉴질랜드,뉴질랜드
3364,단호박,2021-01-20,뉴질랜드,뉴질랜드
3365,애플망고,2021-01-20,페루,페루
3366,양상추(7.5KG),2021-01-20,대만,대만
3367,이집트콩,2021-01-20,미국,미국
3368,신선 단호박,2021-01-20,뉴질랜드,뉴질랜드
3369,망고,2021-01-20,페루,페루
3370,망고,2021-01-20,페루,페루
3371,커피원두,2021-01-20,베트남,베트남
3372,신선 단호박,2021-01-20,뉴질랜드,뉴질랜드
3373,페루커피원두,2021-01-20,페루,페루
3374,페루커피원두,2021-01-20,페루,페루
3375,망고,2021-01-20,베트남,베트남
3376,마늘쫑,2021-01-20,중국,중국
3377,신선브로콜리,2021-01-20,중국,중국
3378,강낭콩,2021-01-20,미국,캐나다
3379,자몽,2021-01-20,이스라엘,이스라엘
3380,자몽,2021-01-20,이스라엘,이스라엘
3381,자몽,2021-01-20,이스라엘,이스라엘
3382,망고,2021-01-20,페루,페루
3383,신선브로콜리,2021-01-20,중국,중국
3384,밤,2021-01-20,중국,중국
3385,신선우엉,2021-01-20,중국,중국
3386,선선깐양파,2021-01-20,중국,중국
3387,깐도라지,2021-01-20,중국,중국
3388,깐도라지,2021-01-20,중국,중국
3389,우엉,2021-01-20,중국,중국
3390,해바라기씨,2021-01-20,불가리아,불가리아
3391,우엉,2021-01-20,중국,중국
