,제품명(한글),수입일자,제조국,수출국
4996,냉동부추,2021-01-11,중국,중국
4997,냉동대파,2021-01-11,중국,중국
4998,냉동대파,2021-01-11,중국,중국
4999,아몬드,2021-01-11,미국,미국
5000,건조 커리잎,2021-01-11,스리랑카,스리랑카
5001,마카다미아,2021-01-11,호주,호주
5002,냉동 양파,2021-01-11,중국,중국
5003,냉동 당근,2021-01-11,중국,중국
5004,냉동 무,2021-01-11,중국,중국
5005,냉동느타리버섯,2021-01-11,중국,중국
5006,냉동당근,2021-01-11,중국,중국
5007,냉동 단호박,2021-01-11,중국,중국
5008,냉동 단호박,2021-01-11,중국,중국
5009,냉동표고버섯,2021-01-11,중국,중국
5010,냉동딸기,2021-01-11,칠레,칠레
5011,적강낭콩,2021-01-11,미얀마,미얀마
5012,호박꼬지,2021-01-11,중국,중국
5013,캐슈넛,2021-01-11,베트남,베트남
5014,여주,2021-01-11,베트남,베트남
5015,흑후추,2021-01-11,오스트리아,오스트리아
5016,냉동 브로컬리,2021-01-11,중국,중국
5017,냉동 연근,2021-01-11,중국,중국
5018,냉동 시금치,2021-01-11,중국,중국
5019,냉동 블루베리,2021-01-11,캐나다,캐나다
5020,냉동마늘,2021-01-11,중국,중국
5021,냉동라임,2021-01-11,베트남,베트남
5022,냉동대파 55mm,2021-01-11,중국,중국
5023,계피,2021-01-11,베트남,베트남
5024,스타아니스,2021-01-11,베트남,베트남
5025,여주,2021-01-11,베트남,베트남
5026,냉동당근,2021-01-11,중국,중국
5027,냉동양파,2021-01-11,중국,중국
5028,알땅콩,2021-01-11,중국,중국
5029,냉동고추,2021-01-11,중국,중국
5030,대두,2021-01-11,미국,미국
5031,냉동홍고추,2021-01-11,중국,중국
5032,들깨,2021-01-11,중국,중국
5033,신선우엉,2021-01-11,중국,중국
5034,건생강,2021-01-11,중국,중국
5035,콩나물,2021-01-11,중국,중국
5036,서리태,2021-01-11,중국,중국
5037,진피,2021-01-11,중국,중국
5038,"들깨(1,000kg)",2021-01-11,미얀마,미얀마
5039,현미(장립종혼합),2021-01-11,인도,인도
5040,활북방산개구리,2021-01-11,중국,중국
5041,냉동홍고추,2021-01-11,중국,중국
5042,감초,2021-01-11,우즈베키스탄,우즈베키스탄
5043,냉동고추,2021-01-11,중국,중국
5044,표고버섯,2021-01-11,중국,중국
5045,커피원두,2021-01-11,브라질,브라질
5046,베트남커피원두,2021-01-11,베트남,베트남
5047,코코넛,2021-01-11,태국,태국
5048,방울다다기 양배추,2021-01-11,벨기에,벨기에
5049,아스파라거스,2021-01-11,페루,페루
5050,아스파라거스,2021-01-11,페루,페루
5051,아스파라거스,2021-01-11,페루,페루
5052,앤다이브(프리셰),2021-01-11,스페인,벨기에
5053,타임,2021-01-11,이스라엘,이스라엘
5054,아스파라거스,2021-01-11,페루,페루
5055,앤다이브(프리셰),2021-01-11,스페인,벨기에
5056,방울다다기 양배추,2021-01-11,벨기에,벨기에
5057,로즈마리,2021-01-11,이스라엘,이스라엘
5058,아스파라거스 4KG,2021-01-11,페루,페루
5059,타임,2021-01-11,이스라엘,이스라엘
5060,바나나 꽃,2021-01-11,태국,태국
5061,망고,2021-01-11,페루,페루
5062,망고,2021-01-11,호주,호주
5063,망고,2021-01-11,페루,페루
5064,망고,2021-01-11,페루,페루
5065,밀(씨앗),2021-01-11,미국,미국
5066,백맥 8.5 PCT,2021-01-11,미국,미국
5067,소맥,2021-01-11,미국,미국
5068,적맥,2021-01-11,미국,미국
5069,백맥,2021-01-11,미국,미국
5070,강적맥,2021-01-11,미국,미국
5071,백맥 10.5 PCT,2021-01-11,미국,미국
5072,적맥,2021-01-11,미국,미국
5073,밀(씨앗),2021-01-11,미국,미국
5074,밀(씨앗),2021-01-11,미국,미국
5075,진피,2021-01-11,중국,중국
5076,과테말라 커피빈,2021-01-11,과테말라,독일
5077,온두라스 커피빈,2021-01-11,온두라스,독일
5078,예멘 커피빈,2021-01-11,예멘,독일
5079,인도 커피빈,2021-01-11,인도,독일
5080,에티오피아 커피빈,2021-01-11,에티오피아,독일
5081,체리,2021-01-11,칠레,칠레
5082,체리,2021-01-11,칠레,칠레
5083,골드파인애플,2021-01-11,필리핀,필리핀
5084,"바나나(열매,신선)",2021-01-11,에콰도르,에콰도르
5085,마카다미아,2021-01-11,호주,호주
5086,냉동 대파,2021-01-11,중국,중국
